campaign_id,date,sku,ad_type,impressions,clicks,spend,sales,orders
SP-UMB-AUTO,2026-08-26,UMB-BLK,sp,10200,203,40.5,183,11
SB-UMB-BRAND,2026-08-26,UMB-WHT,sb,7150,142,28.4,132,8
SP-UMB-AUTO,2026-08-25,UMB-BLK,sp,10400,206,41,186,12
SB-UMB-BRAND,2026-08-25,UMB-WHT,sb,7300,144,28.8,134,9
SP-UMB-AUTO,2026-08-24,UMB-BLK,sp,10600,209,41.5,189,13
SB-UMB-BRAND,2026-08-24,UMB-WHT,sb,7450,146,29.2,136,10
SP-UMB-AUTO,2026-08-23,UMB-BLK,sp,10800,212,42,192,14
SB-UMB-BRAND,2026-08-23,UMB-WHT,sb,7600,148,29.6,138,11
SP-UMB-AUTO,2026-08-22,UMB-BLK,sp,11000,215,42.5,195,15
SB-UMB-BRAND,2026-08-22,UMB-WHT,sb,7750,150,30,140,12
SP-UMB-AUTO,2026-08-21,UMB-BLK,sp,11200,218,43,198,16
SB-UMB-BRAND,2026-08-21,UMB-WHT,sb,7900,152,30.4,142,13
SP-UMB-AUTO,2026-08-20,UMB-BLK,sp,11400,221,43.5,201,17
SB-UMB-BRAND,2026-08-20,UMB-WHT,sb,8050,154,30.8,144,14
SP-UMB-AUTO,2026-08-19,UMB-BLK,sp,11600,224,44,204,18
SB-UMB-BRAND,2026-08-19,UMB-WHT,sb,8200,156,31.2,146,15
SP-UMB-AUTO,2026-08-18,UMB-BLK,sp,11800,227,44.5,207,19
SB-UMB-BRAND,2026-08-18,UMB-WHT,sb,8350,158,31.6,148,16
SP-UMB-AUTO,2026-08-17,UMB-BLK,sp,12000,230,45,210,20
SB-UMB-BRAND,2026-08-17,UMB-WHT,sb,8500,160,32,150,17
SP-UMB-AUTO,2026-08-16,UMB-BLK,sp,12200,233,45.5,213,21
SB-UMB-BRAND,2026-08-16,UMB-WHT,sb,8650,162,32.4,152,18
SP-UMB-AUTO,2026-08-15,UMB-BLK,sp,12400,236,46,216,22
SB-UMB-BRAND,2026-08-15,UMB-WHT,sb,8800,164,32.8,154,19
SP-UMB-AUTO,2026-08-14,UMB-BLK,sp,12600,239,46.5,219,23
SB-UMB-BRAND,2026-08-14,UMB-WHT,sb,8950,166,33.2,156,20
SP-UMB-AUTO,2026-08-13,UMB-BLK,sp,12800,242,47,222,24
SB-UMB-BRAND,2026-08-13,UMB-WHT,sb,9100,168,33.6,158,21
