sku,date,units,orders,revenue,sessions
UMB-BLK,2026-08-26,32,30,543.68,448
UMB-WHT,2026-08-26,16,15,255.84,208
UMB-SUN,2026-08-26,6,5,119.94,66
UMB-BLK,2026-08-25,34,32,577.66,476
UMB-WHT,2026-08-25,17,16,271.83,221
UMB-SUN,2026-08-25,7,6,139.93,77
UMB-BLK,2026-08-24,36,34,611.64,504
UMB-WHT,2026-08-24,18,17,287.82,234
UMB-SUN,2026-08-24,8,7,159.92,88
UMB-BLK,2026-08-23,38,36,645.62,532
UMB-WHT,2026-08-23,19,18,303.81,247
UMB-SUN,2026-08-23,9,8,179.91,99
UMB-BLK,2026-08-22,40,38,679.6,560
UMB-WHT,2026-08-22,20,19,319.8,260
UMB-SUN,2026-08-22,10,9,199.9,110
UMB-BLK,2026-08-21,42,40,713.58,588
UMB-WHT,2026-08-21,21,20,335.79,273
UMB-SUN,2026-08-21,11,10,219.89,121
UMB-BLK,2026-08-20,44,42,747.56,616
UMB-WHT,2026-08-20,22,21,351.78,286
UMB-SUN,2026-08-20,12,11,239.88,132
UMB-BLK,2026-08-19,46,44,781.54,644
UMB-WHT,2026-08-19,23,22,367.77,299
UMB-SUN,2026-08-19,13,12,259.87,143
UMB-BLK,2026-08-18,48,46,815.52,672
UMB-WHT,2026-08-18,24,23,383.76,312
UMB-SUN,2026-08-18,14,13,279.86,154
UMB-BLK,2026-08-17,50,48,849.5,700
UMB-WHT,2026-08-17,25,24,399.75,325
UMB-SUN,2026-08-17,15,14,299.85,165
UMB-BLK,2026-08-16,52,50,883.48,728
UMB-WHT,2026-08-16,26,25,415.74,338
UMB-SUN,2026-08-16,16,15,319.84,176
UMB-BLK,2026-08-15,54,52,917.46,756
UMB-WHT,2026-08-15,27,26,431.73,351
UMB-SUN,2026-08-15,17,16,339.83,187
UMB-BLK,2026-08-14,56,54,951.44,784
UMB-WHT,2026-08-14,28,27,447.72,364
UMB-SUN,2026-08-14,18,17,359.82,198
UMB-BLK,2026-08-13,58,56,985.42,812
UMB-WHT,2026-08-13,29,28,463.71,377
UMB-SUN,2026-08-13,19,18,379.81,209
